麺	noodles<br><br>めん
助け舟	(n) timely help<br><br>たすけぶね
雲隠れ	(n,vs) disappearance<br><br>くもがくれ
星雲	nebula/galaxy (~star cloud)<br><br>せいうん
雲海	(n) sea of clouds<br><br>うんかい
正直	honesty; integrity; frankness; honestly; frankly<br><br>しょうじき
騒ぐ	to make noise; to clamor; to be excited; to be alarmed; to kick up a fuss; to make merry; to be annoying; to be troublesome; to make a noise<br><br>さわぐ
騒動	strife; riot; rebellion ("noisy")<br><br>そうどう
呆然	dumbfounded; overcome with surprise; in blank amazement; in a daze<br><br>ぼうぜん
販促	sales promotion<br><br>はんそく
視覚	sense of sight; vision<br><br>しかく
微妙	delicate; subtle; sensitive; difficult; delicate (situation); complicated; doubtful; questionable; dicey<br><br>びみょう
在留資格	status of residence (in Japan); visa status; residence qualification<br><br>ざいりゅうしかく
整理	sorting; arrangement; organization; putting in order; adjustment; regulation; liquidation<br><br>せいり
添える	to garnish; to accompany (as a card does a gift); to add to as support; to prop up; to accompany (as an aid, guide, translator, etc.); to mimic; to imitate; to draw something near to oneself<br><br>そえる
邦訳	translation into Japanese<br><br>ほうやく
惑星	planet<br><br>わくせい
生息	inhabiting; living<br><br>せいそく
観測	observation<br><br>かんそく
恒星	(fixed) star (i.e. not a planet, meteorite, etc.)<br><br>こうせい
必須	indispensable; required<br><br>ひっす
造詣	deep knowledge; attainments; scholarship<br><br>ぞうけい
桜	cherry tree; cherry blossom; decoy; fake buyer; shill; hired applauder; horse meat<br><br>さくら
大胆	bold; daring; audacious<br><br>だいたん
精度	precision; accuracy<br><br>せいど
改善	betterment; improvement; incremental and continuous improvement<br><br>かいぜん
統計	statistics<br><br>とうけい
塾	coaching school; cramming school; juku<br><br>じゅく
優先度	priority<br><br>ゆうせんど
削る	to shave (wood or leather); to sharpen; to plane; to whittle; to pare; to scrape off; to cross out; to reduce; to curtail; to remove; to erase<br><br>けずる
起床	rising; getting out of bed<br><br>きしょう
寧	rather; better; instead<br><br>むしろ
罹患	contracting a disease<br><br>りかん
睡眠	sleep<br><br>すいみん
美容院	beauty parlour; beauty parlor; hairdressing salon<br><br>びよういん
狐	fox (esp. the red fox, Vulpes vulpes); fox (i.e. a sly person); soba or udon topped with deep-fried tofu; light brown<br><br>きつね
狼	wolf (carnivore, Canis lupus)<br><br>おおかみ
地獄	hell<br><br>じごく
獣医	veterinarian<br><br>じゅうい
猟師	hunter; huntsman<br><br>りょうし
未曾有	unprecedented; unheard of<br><br>みぞう
常勤	full-time employment<br><br>じょうきん
未亡人	widow<br><br>みぼうじん
不公平	unfairness; injustice; partiality<br><br>ふこうへい
仮眠	nap; doze<br><br>かみん
苛め	bullying; teasing<br><br>いじめ
お陰で	thanks to ... (can be used for non-people causes); owing to ....<br><br>おかげで
可哀想	poor; pitiable; pathetic<br><br>かわいそう
我流	self-taught; one's own way<br><br>がりゅう
武芸	martial arts<br><br>ぶげい
消える／消す	<br>to go out; to vanish; to disappear<br /><br />to erase; to delete; to cross out; to turn off power; to extinguish; to put out; to bump off<br><br>きえる／けす
避ける	to avoid (physical contact with); to avoid (situation); to ward off; to avert<br><br>さける、 よける
輪郭	contours; outlines; features; border<br><br>りんかく
姿	figure; shape; appearance<br><br>すがた
印刷	printing 熟語<br><br>いんさつ
獲る	to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain; (after the -masu stem of a verb) to be able to ...; can ...　える<br><br>to take; to catch (fish); to capture　とる<br><br>
湧く	to well (up); to gush forth (of water); to spring out; to surge; to appear (esp. suddenly) (sweat, tears, etc.); to hatch (esp. of parasitic insects, etc.)<br><br>わく
泉	spring; fountain<br><br>いずみ
実践	practice; practise; put into practice; put into practise<br><br>じっせん
秩序	order; regularity; system; method<br><br>ちつじょ
鍛える	to forge; to drill; to temper; to train; to discipline<br><br>きたえる
熟練	skill; dexterity; proficiency<br><br>じゅくれん
揉む	to rub; to crumple (up); to wrinkle; to massage; to be troubled about; to worry over; to train; to coach<br><br>もむ
難問	perplexity; difficult question; difficult problem<br><br>なんもん
解く	to solve; to answer; to untie; to comb; to untangle (hair)<br><br>とく
類似	resemblance; similarity; analogous; quasi; to resemble; to be similar; to be alike<br><br>るいじ
極致	culmination<br><br>きょくち
到達	reaching; attaining; arrival<br><br>とうたつ
達人	master; expert<br><br>たつじん
砂鉄	iron sand; magnetite sand<br><br>さてつ
名刀	famous sword; excellent sword<br><br>めいとう
黙る	to be silent<br><br>だまる
拘る	こだわる<br>to fuss over; to be particular about; to be obsessive; to be fixated<br><br>かかわる<br>to be affected; to be influenced; to be concerned with; to have to do with; to stick to (opinions)<br><br>
奪う	to snatch away; to dispossess<br><br>うばう
落語	rakugo story; (telling) a comic story<br><br>らくご
教わる	to be taught<br><br>おそわる
慰める	to comfort; to console; to amuse<br><br>なぐさめる
執筆	writing (e.g. as a profession)<br><br>しっぴつ
傍ら	side; edge; nearby; while (doing)<br><br>かたわら
滑る	to glide; to slide (e.g. on skis); to slip; to bomb (when telling a joke)<br />to be slippery; to be slimy; to behave charmingly; to walk merrily<br><br>すべる<br>ぬめる
滑らか	smoothness; glassiness<br><br>なめらか
床	floor<br><br>ゆか
閲覧	inspection; reading; browsing (the WWW, internet); web browsing<br><br>えつらん
甦る　蘇る	to be resurrected; to be resuscitated; to be rehabilitated; to be revived; to be refreshed; to be restored; to be recalled (e.g. memories); to be brought back<br><br>よみがえる
劃す	to draw (a line); to demarcate; to mark; to divide; to map out; to plan<br><br>かくす
比喩的	figurative<br>漢字三字<br><br>ひゆてき
幻想	illusions<br><br>げんそう
諦める	to give up; to abandon<br><br>あきらめる
貼り付け	paste<br><br>はりつけ
潜る	to drive; to pass through; to pass under; to evade; to hide; to survive<br />to dive (into or under water); to get in; to go underground<br><br>くぐる　　もぐる<br>
眺める	to view; to gaze at<br><br>ながめる
誤る 謬る	to make a mistake; to err; to mislead; to misguide<br>(漢字一字）<br><br>あやまる
謝る	to apologize<br><br>あやまる
外貌	outward appearance<br><br>がいぼう
透かさず	without a moment's delay<br><br>すかさず
稼働	operation (of machine); actual work<br><br>かどう
羊	sheep<br><br>ひつじ
幾分	somewhat; to some extent; to some degree; some; part; portion<br><br>いくぶん
鮮やか	vivid; clear; brilliant<br><br>あざやか
列挙	enumeration; list<br><br>れっきょ
やきもき	impatient; worry about<br><br>
稼ぐ	to earn income; to labor<br><br>かせぐ
悍ましい	disgusting; repulsive<br>漢字一字<br><br>おぞましい
湾曲	roundabout;<br>curve; bend; crook<br><br>わんきょく
鴨	duck; easy mark; sucker; sitting duck<br><br>かも
忌嫌う	to detest; to abhor; to loathe<br><br>いみきらう
家鴨	domestic duck<br><br>あひる
油断	negligence; unpreparedness<br><br>ゆだん
断つ	to sever; to cut off; to suppress; to abstain (from)<br><br>たつ
支配	rule; control; direction<br><br>しはい
帝国	empire; imperial<br><br>ていこく
寝台車	sleeping car<br><br>しんだいしゃ
車掌	(train) conductor<br><br>しゃしょう
一桁	one digit; one column; the "ones" column<br><br>ひとけた
乗り過ごす	to ride past; to miss one's stop (train, bus, etc.)<br><br>のりすごす
竟に 終に 遂に<br />	finally; at last; (with neg) in the end<br />("on sale")<br><br>ついに
挨拶	greeting<br><br>あいさつ
熟す	じゅくす<br>to ripen; to mature; to be in common use; to come to sound natural<br><br>こなす<br>to break to pieces; to digest; to handle easily<br><br>
告訴<br />	accusation; complaint; charge; legal action<br /><br><br>こくそ
訴える	to sue (a person); to take someone to court; to resort to (e.g. arms, violence); to appeal to; to call for; to raise; to bring to (someone's attention); to complain<br><br>うったえる
嚏	sneeze<br><br>くしゃみ
紅葉狩り	autumn-leaf viewing; fall-leaf viewing<br><br>もみじがり
整える	to put in order; to arrange; to adjust; to get ready; to prepare; to raise money<br>漢字一字<br><br>ととのえる
襲う	to attack; to assail; to make an assault; to strike; to hunt down; to succeed (someone in a post, role, etc.); to make a sudden visit<br><br>おそう
怪獣	monster (beast)<br><br>かいじゅう
降伏	capitulation; surrender; submission<br><br>こうふく
旗	flag; pataka (banner)<br><br>はた
配偶者	spouse; wife; husband<br><br>はいぐうしゃ
納得	consent; understanding; agreement; <span style="font-weight:600;">comprehension; grasp</span><br><br>なっとく
驚異的	wonderful; astounding; marvellous<br>漢字三字<br><br>きょういてき
培う	to cultivate; to foster<br><br>つちかう
価値観	values<br><br>かちかん
誇る	to boast of; to be proud of<br><br>ほこる
捨て去る	to abandon (ship)<br><br>すてさる
疾うに	long ago; a long time ago; already<br><br>とうに
北朝鮮	North Korea<br><br>きたちょうせん
故に	therefore; consequently<br><br>ゆえに
謎	riddle; puzzle; enigma; mystery; enigmatic; mysterious<br><br>なぞ
自ら	おのずから<br>naturally; as a matter of course<br><br>みずから<br>for one's self; personally<br><br>
掲示板	bulletin board; display board; notice board; electronic bulletin board; BBS<br><br>けいじばん
嘘	lie; falsehood; incorrect fact; Really!; Unbelievable!; No way!<br><br>うそ
贈る	to send; to give to; to award to; to confer on<br><br>おくる
名刺	business card<br><br>めいし
組織	organization; organisation; structure; construction; tissue; system<br><br>そしき
否定的	negative; contradictory<br><br>ひていてき
総称	general term<br><br>そうしょう
既に	already; too late<br><br>すでに
追加	addition; supplement; append (e.g. to a file); appendix; add someone "on mixi"<br><br>ついか
却下	rejection; dismissal (turn ~down)<br><br>きゃっか
一杯	cup of ...; drink; full; to the utmost; up to (one's income); (a) lot of; much<br><br>いっぱい
紛争	dispute; trouble; strife<br><br>ふんそう
経済制裁	economic sanctions<br><br>けいざいせいさい
措置	measure; step<br><br>そち
課す	to impose<br><br>かす
反対	opposition; resistance; antagonism; hostility; contrast; objection; dissension; reverse; opposite; vice versa<br><br>はんたい
輸出	export; efferent (medical)<br><br>しゅしゅつ
掲げる	to publish; to print; to carry (an article); to put up; to hang out; to hoist; to fly (a sail); to float (a flag); to tout; to set forth (provision)<br><br>かかげる
脅し	threat<br><br>おどし
忠告	advice; warning (from a ~faithful friend)<br><br>ちゅうこく
祈る	to pray; to wish<br><br>いのる
丁寧	polite; courteous; careful; care; kind; close; thorough; conscientious<br><br>ていねい
尊重	respect; esteem; regard ("heavy")<br><br>そんちょう
自粛	self-control; self-discipline; self-restraint; Japanese custom of apology followed by reclusion when caught doing something<br><br>じしゅく
荒らし	(Internet) troll; raising havoc; laying waste; disturber<br><br>あらし
放置	leaving as is; leaving to chance; neglect<br><br>ほうち
削除	elimination; cancellation; deletion; erasure; DEL (key)<br><br>さくじょ
疲労	fatigue; weariness<br><br>ひろう
醸す	to brew; to cause; to give rise to; to distill<br><br>かもす
根付く	to take root<br><br>ねづく
鑑賞	appreciation (e.g. of art); aesthetic sense<br><br>かんしょう
喧嘩	quarrel; brawl; fight; squabble; scuffle<br><br>けんか
貰う	to receive; to take; to accept; to get somebody to do something (follows a verb in "te" form)<br><br>もらう
引っ括るめる	to lump together<br><br>ひっくるめる
旦那	husband (informal); master (of house, shop, etc.); word used to address a male patron or customer (sir, boss, master, governor); patron of a mistress, geisha, bar or nightclub hostess<br><br>だんな
披露宴	reception (wedding)<br><br>ひろうえん
認める	to recognize; to recognise; to appreciate; to observe; to notice; to admit; to approve<br><br>みとめる
語彙	vocabulary; lexicon; lexis; terminology<br><br>ごい
問い合わせ	enquiry; inquiry; ENQ; query; interrogation<br><br>といあわせ
締切	closing; cut-off; end; deadline; Closed; No Entrance<br><br>しめきり
推薦状	letter of invitation; letter of recommendation; reference<br><br>すいせんじょう
持参	bringing; taking; carrying<br><br>じさん
奨学金	scholarship (money)<br><br>しょうがくきん
図る	to plot; to attempt; to plan; to devise; to design; to take in; to deceive; to aim for; to have something in mind; to refer A to B<br><br>はかる
爽快	refreshing; exhilarating<br><br>そうかい
穏やか	calm; gentle; quiet<br><br>おだやか
不可欠	indispensable; essential; nelipsit<br><br>ふかけつ
日帰り	day trip<br><br>ひがえり
恐縮	shame; very kind of you; sorry to trouble<br><br>きょうしゅく
網羅	comprising; including; covering; encompassing; comprehending<br><br>もうら
嵩張る	to be bulky; to be unwieldy; to grow voluminous<br><br>かさばる
騙し	deceiving; cheating; fooling<br><br>だまし
陸地	land<br />漢字二字<br><br>りくち
着陸	landing; alighting; touch down<br><br>ちゃくりく
敷地内	premises<br><br>しきちない
興味	interest (in something)<br><br>きょうみ
僻地	remote place; backcountry; the sticks<br><br>へきち
契約	contract; compact; agreement<br><br>けいやく
年額	yearly amount<br><br>ねんがく
損なう	to harm; to hurt; to injure; to damage; to fail in doing<br><br>そこなう
誹謗中傷	slander; calumny<br><br>ひぼうちゅうしょう
訴訟	litigation; lawsuit<br><br>そしょう
株主総会	general meeting of stockholders<br><br>かぶぬしそうかい
突然	abrupt; sudden; unexpected; all at once<br><br>とつぜん
株主	shareholder; stockholder<br><br>かぶぬし
属する	to belong to; to come under; to be affiliated with; to be subject to<br><br>ぞくする
評判	fame; reputation; popularity; rumour (rumor); talk<br><br>ひょうばん
顧客	customer; client; patron<br><br>こかく
活かす	to make (the best) use of; to leverage (skills, attributes, experience, etc.); to capitalise on (experience, etc); to let live; to keep alive; to revive; to resuscitate<br><br>いかす
掲載	publication (e.g. article in paper); appearance; insertion; to insert (e.g. an article); to run (e.g. in a newspaper)<br><br>けいさい
可否	propriety; right and wrong; advisability; pro and con; ayes and noes<br><br>かひ
複数回	plural (number)<br><br>ふくすうかい
承る	to hear; to be told; to know; to receive (order); to undertake; to comply; to take (a reservation, etc.)<br><br>うけたまわる
宛	addressed to<br><br>あて
に付き	per; apiece; because of; regarding; (printing) impression; sociability; appearance<br><br>につき
即ち	that is; namely; i.e.<br><br>すなわち
合図	sign; signal<br><br>あいず
扇ぐ	to fan; to incite; to instigate<br><br>あおぐ
青白い	pale; pallid; bluish-white<br><br>あおじろい
握手	handshake<br><br>あくしゅ
呆れる、惘れる	to be amazed; to be shocked<br><br>あきれる
明くる	next; following<br><br>あくる
明け方	dawn<br><br>あけがた
足元	at one's feet; underfoot; gait; pace; step; you; thou<br><br>あしもと
厚かましい	impudent; shameless; brazen<br><br>あつかましい
圧縮	compression; condensation; constriction; compaction<br><br>あっしゅく
暴れる	to act violently; to rage; to struggle; to be riotous<br><br>あばれる
炙る、焙る	to warm (i.e. one's hands over a fire); to dry; to scorch; to broil; to toast; to grill<br><br>あぶる
甘やかす	to pamper; to spoil<br><br>あまやかす
編物	knitting; knitted material; crochet<br><br>あみもの
飴	(hard) candy; toffee<br><br>あめ
粗い	coarse; rough<br><br>あらい
嵐	storm; tempest<br><br>あらし
粗筋	outline; summary<br><br>あらすじ
あらゆる	all; every<br><br>あらゆる
慌しい	busy; hurried; confused; flurried<br><br>あわただしい
慌てる	to become confused (disconcerted, disorganized, disorganised); to be flustered; to panic; to be in a hurry; to rush<br><br>あわてる
暮方	evening; sunset; nightfall<br><br>くれがた
下人	low-rank person; menial<br><br>げにん
羅生門	Rashomon<br><br>らしょうもん
丹塗	red paint<br><br>にぬり
剥げる	to peel off<br><br>はげる
円柱	round pillar<br><br>まるばしら
蟋蟀	cricket<br><br>きりぎりす
朱雀大路	Suzaku Avenue<br><br>すざくおおじ
市女笠	broad-brimmed hat worn by women<br><br>いちめがさ
揉烏帽子	lightly crumpled hat worn by men<br><br>もみえぼし
何故か	somehow; for some reason; without knowing why<br><br>なぜか
云う	to say; to call (i.e. to give a name)<br><br>いう
辻風	whirlwind; commotion; sensation; hullabaloo<br><br>つじかぜ
饑饉	famine; drought; shortage; crop failure<br><br>ききん
災	calamity, disaster<br><br>わざわい
洛中	inside the capital<br><br>らくちゅう
錆びれ方	manner of decline<br><br>さびれかた
一通り	from start to end; in general; ordinary; usual; briefly; roughly; one method<br><br>ひととおり
仏像	Buddhist image (statue)<br><br>ぶつぞう
仏具	Buddhist altar equipment<br><br>ぶつぐ
打砕く	to smash, break<br><br>うちくだく
丹	red earth (i.e. containing cinnabar or minium); vermilion<br><br>に
金銀	gold and silver<br><br>きんぎん
箔	foil; (gold, etc.) leaf<br><br>はく
路端	roadside<br><br>みちばた
薪	firewood; kindling; fuel; piece(s) of firewood<br><br>たきぎ
料	material<br><br>しろ
始末	circumstances, situation<br><br>しまつ
顧る	to have regard for, care about<br><br>かえりみる
荒れ果てる	to fall into ruin; to be desolated<br><br>あれはてる
狐狸	foxes and badgers<br><br>こり
棲む	to live<br><br>すむ
盗人	thief; robber<br><br>ぬすびと
到頭	finally; at last; reaching a head<br><br>とうとう
棄てる	to throw away; to cast aside; to abandon; to resign; to break up with (someone)<br><br>すてる
気味を悪るがる	to get a bad feeling from, find spooky<br><br>きみをわるがる
足踏みをする	to set foot<br><br>あしぶみをする
鴉	crow; raven<br><br>からす
何羽となく	in countless numbers (of birds)<br><br>なんわとなく
鴟尾	ornamental corner roof-tile<br><br>しび
啼く	to sing (bird); to bark; to purr; to make sound (animal)<br><br>なく
殊に、異に	especially; particularly; unusually; above all; additionally<br><br>ことに
胡麻	sesame (seeds)<br><br>ごま
啄む	to peck at<br><br>ついばむ
刻限	time; appointed time<br><br>こくげん
崩れかかる	to begin to crumble; to crumble and fall (or collapse) onto another object<br><br>くずれかかる
崩れ目	crack<br><br>くずれめ
石段	(flight of) stone steps<br><br>いしだん
糞	droppings<br><br>くそ
こびり付く	to stick to; to cling to<br><br>こびりつく
洗いざらす	to wear out from washing<br><br>あらいざらす
紺	deep blue<br><br>こん
襖	everyday garment worn by men in ancient Japan<br><br>あお
尻を据える	to sit oneself down<br><br>しりをすえる
頬	cheek (of face)<br><br>ほお
面皰	pimple; acne<br><br>にきび
可き	should (suf. to verbs); must<br><br>べき
筈	expectation that something took place, will take place or was in some state; it should be so; bound to be; expected to be; must be; nock (of a bow); nock (of an arrow)<br><br>はず
衰微	decline; decadence; ebb tide<br><br>すいび
永年	long time; many years<br><br>ながねん
他ならない	nothing but; no other than<br><br>ほかならない
余波	secondary effect, consequence<br><br>よは
降り籠める	to rain (or snow), keeping people indoors<br><br>ふりこめる
途方に暮れる	to be at a loss<br><br>とほうにくれる
空模様	look of the sky; weather<br><br>そらもよう
申の刻	the hour of the Monkey (3:00-5:00 PM)<br><br>さるのこく
未だに	(+ negative) not yet<br><br>いまだに
差当り	for the time being<br><br>さしあたり
どうにもならない	helpless (situation)<br><br>どうにもならない
取留めもない	rambling<br><br>とりとめもない
辿る	to follow (road); to pursue (course)<br><br>たどる
～ともなく	not really　～<br><br>～ともなく
何を措いても	first of all<br><br>なにをおいても
百姓	farmer; peasant; the common people<br><br>ひゃくしょう
ざあっ	sound of water<br><br>ざあっ
夕闇	dusk; twilight<br><br>ゆうやみ
斜に	diagonally<br><br>ななめに
甍	rooftile<br><br>いらか
どうにかする	to manage, get through<br><br>どうにかする
手段	means, method<br><br>しゅだん
遑	spare time, leisure<br><br>いとま
築土	roofed mudwall<br><br>ついじ
饑死	death by hunger<br><br>うえじに
低徊する	to linger, hover<br><br>ていかいする
揚句	(after a verb in the past tense) after, in the end<br><br>あげく
局所	point<br><br>きょくしょ
逢着する	to encounter<br><br>ほうちゃくする
肯定	to endorse, affirm<br><br>こうてい
大儀	tired, exhausted, worn out<br><br>たいぎ
夕冷え	evening chill; cool of the evening<br><br>ゆうびえ
火桶	bucket of coals, brazier<br><br>ひおけ
吹き抜ける	to blow through<br><br>ふきぬける
頸	neck<br><br>くび
縮む	to shrink; to contract; to diminish (in size)<br><br>ちぢむ
山吹	the color of yellow rose<br><br>やまぶき
汗袗	sweat-absorbent summer garment<br><br>かざみ　　あせとり
患	distress<br><br>うれえ
惧	fear, worry<br><br>おそれ
ともかく	at least, anyway<br><br>ともかく
夜を明かす	to spend/pass the night<br><br>ようをあかす
楼	tower, lookout place, story<br><br>ろう
梯子	ladder<br><br>はしご
聖柄	plain wooden sword hilt (normally sword hilts were covered in sharkskin)<br><br>ひじりづか
太刀	sword<br><br>たち
鞘走る	to slip out of the scabbard<br><br>さやばしる
藁草履	straw sandals<br><br>わらぞうり
窺う、覗う	to look, peep<br><br>うかがう
かすかに	faintly, dimly<br><br>かすかに
鬚	beard (around the chin), chin whiskers<br><br>ひげ
膿	puss, foul secretion<br><br>うみ
高を括る	to underrate, not take seriously<br><br>たかをくくる
火を灯す	to light; to turn on<br><br>ひをとぼす
濁る	to be muddy, be unclear<br><br>にごる
揺れる	to wobble, shake, tremble<br><br>ゆれる
どうせ	in any event, in any case, anyway<br><br>どうせ
守宮	lizard<br><br>やもり
這う	to crawl<br><br>はう
平にする	to make flat<br><br>たいらにする
覗く	to have a look<br><br>のぞく
ご無沙汰	not writing or contacting for a while; neglecting (failing) to write (call, visit, etc.); long silence<br><br>ごぶさた
彩る	to colour; to color; to paint; to make up<br><br>いろどる
監督	supervision; control; superintendence; direction; director; superintendent; supervisor; coach; foreman; manager; overseer; controller; boss<br><br>かんとく
滅びる	to be ruined; to go under; to perish; to be destroyed<br><br>ほろびる
磁力	magnetism; magnetic force<br><br>じりょく
核	pit (of a fruit); stone; core; nucleus; nuclear; nuclear weaponry<br><br>かく
膨らむ	to expand; to swell (out); to get big; to become inflated<br><br>ふくらむ
歪む	to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained<br><br>いがむ
ノアの箱舟	Noah's ark<br><br>ノアのはこぶね
地殻	earth's crust<br><br>ちかく
迫り上がる	to gradually rise<br><br>せりあがる
喜望峰	Cape of Good Hope<br><br>きぼうほう
密かに	in secret; secretly<br><br>ひそかに
親しい	intimate; close (e.g. friend)<br><br>したしい
遭遇	encounter<br><br>そうぐう
壊滅	destruction; annihilation; devastation; catastrophe<br><br>かいめつ
逸れる	to stray (turn) from subject; to get lost; to go astray<br><br>それる
精霊	spirit of the deceased<br><br>しょうりょう
因業	heartless; cruel; causes and actions; results of actions in previous life<br><br>いんごう
惨め	miserable; wretched; unhappy; sad; pitiable<br><br>みじめ
頷く	to nod; to bow one's head in assent<br><br>うなずく
癒す	to heal; to cure<br><br>いやす
吉日	lucky day; an unspecified day of the month, used on diplomas, proclamations, etc.<br><br>きちじつ、きちにち
清祥	spirit; energy<br><br>せいしょう
俳優	actor; actress; player; performer<br><br>はいゆう
